water req,month,Min Temp,Max Temp,Humidity,Wind,Sun,Rad,Rain,altitude,latitude,longitude,crop,soil,city
83.990001,,16.08,32.01,35.03,192.02,8.1,19.24,5.04,431.07,26.91,,,,
,March,,,,,,,,,,75.78,potato,red loamy,jaipur
39.07,,21.02,32.03,62.01,168.09,9.02,22.08,10.0,14.05,19.17,,,,
,March,,,,,,,,,,wheat,red sandy,mumbai,
235.18,,27.07,39.02,63.07,312.01,9.1,23.27,32.08,7.0,13.09,,,,
,May,,,,,,,,,,80.27,potato,red loamy,chennai
108.98,,21.05,36.03,41.07,168.05,10.09,23.84,40.07,216.07,28.7598,,,,
,April,,,,,,,,,,wheat,red sandy,delhi,
0.02,,26.01,36.02,64.07,288.04,6.07,18.43,111.01,7.08,13.09,,,,
,July,,,,,,,,,,wheat,red sandy,chennai,
116.19,,25.01,36.02,70.06,192.0,9.29,23.35,51.08,9.02,22.73,,,,
,April,,,,,,,,,,88.36,potato,red loamy,kolkata
47.7206,,22.07,34.09,63.03,120.09,8.48,20.5,28.09,9.03,22.79,,,,
,March,,,,,,,,,,88.36,potato,red loamy,kolkata
47.71,,22.08,34.05,63.04,120.07,8.4,20.51,28.08,9.06,22.7798,,,,
,March,,,,,,,,,,88.36,potato,red loamy,kolkata
5.91,,27.04,34.07,80.06,168.01,4.56,16.71,301.06,9.03,22.79,,,,
,June,,,,,,,,,,88.36,potato,red loamy,kolkata
58.18,,23.32,31.9797,65.0,207.08,5.58,17.3102,116.06,281.1,15.82,,,,
,september,,,,,,,,,,78.06,rice,BLACK CLAY,kurnool
221.72,,22.08,37.07,26.04,240.01,9.07,22.62,4.02,431.07,26.95,,,,
,April,,,,,,,,,,75.78,potato,red loamy,jaipur
47.7206,,22.1,34.0,63.08,120.05,8.41,20.6,28.08,9.03,22.71,,,,
,March,,,,,,,,,,88.36,potato,red loamy,kolkata
221.79,,22.05,37.03,26.03,240.09,9.06,22.6502,4.06,431.02,26.91,,,,
,April,,,,,,,,,,75.78,potato,red loamy,jaipur
185.7099998,,26.02,39.33,34.08,138.1,9.28,23.6502,10.07,281.08,15.9,,,,
,April,,,,,,,,,,78.06,potato,red loamy,kurnool
85.77,,23.06,34.05,67.05,192.03,8.0,19.7798,80.09,431.07,26.96,,,,
,september,,,,,,,,,,75.78,rice,BLACK CLAY,jaipur
