simulation_id,time,water,hour
0,1451631600.0,36.86,14.0
1,1451646000.0,38.13,12.0
2,1451660400.0,21.22,16.0
3,1451638800.0,15.26,10.0
4,1451631600.0,9.47,8.0
5,1451739600.0,67.02,14.0
6,1451732400.0,7.79,12.0
7,1451746800.0,7.12,16.0
8,1451725200.0,0.64,10.0
9,1451718000.0,0.41,8.0
10,1451826000.0,79.16,14.0
11,1451818800.0,48.24,12.0
12,1451833200.0,5.01,16.0
13,1451811600.0,0.69,10.0
14,1451804400.0,1.01,8.0
15,1451912400.0,7.61,14.0
16,1451905200.0,38.38,12.0
17,1451919600.0,4.74,16.0
18,1451898000.0,29.72,10.0
19,1451890800.0,9.36,8.0
20,1451998800.0,52.49,14.0
21,1451991600.0,83.0,12.0
22,1452006000.0,38.37,16.0
23,1451984400.0,0.15,10.0
24,1451977200.0,0.01,8.0
25,1452085200.0,114.64,14.0
26,1452078000.0,1.6,12.0
27,1452092400.0,2.98,16.0
28,1452070800.0,0.36,10.0
29,1452063600.0,3.11,8.0
30,1452171600.0,127.74,14.0
31,1452164400.0,11.46,12.0
32,1452178800.0,12.98,16.0
33,1452157200.0,0.7,10.0
34,1452150000.0,0.07,8.0
35,1452258000.0,22.77,14.0
36,1452250800.0,17.99,12.0
37,1452265200.0,43.04,16.0
38,1452243600.0,12.62,10.0
39,1452236400.0,3.43,8.0
40,1452344400.0,70.06,14.0
41,1452337200.0,15.57,12.0
42,1452351600.0,10.15,16.0
43,1452330000.0,11.68,10.0
44,1452322800.0,0.81,8.0
45,1452430800.0,76.56,14.0
46,1452423600.0,3.49,12.0
47,1452438000.0,21.92,16.0
48,1452416400.0,5.35,10.0
49,1452409200.0,1.56,8.0
50,1452517200.0,23.9,14.0
51,1452510000.0,1.76,12.0
52,1452524400.0,52.09,16.0
53,1452502800.0,0.64,10.0
54,1452495600.0,6.02,8.0
55,1452603600.0,94.91,14.0
56,1452596400.0,22.19,12.0
57,1452610800.0,33.83,16.0
58,1452589200.0,7.09,10.0
59,1452582000.0,3.5,8.0
60,1452690000.0,13.51,14.0
61,1452682800.0,77.31,12.0
62,1452697200.0,11.19,16.0
63,1452675600.0,2.26,10.0
64,1452668400.0,0.18,8.0
65,1452776400.0,50.27,14.0
66,1452769200.0,10.72,12.0
67,1452783600.0,38.79,16.0
