data_code,max_hour,sec_max_hour,min_hour,sec_min_hour,cum_early,cum_late,cum_mid,cum_all,threshold,cum_early_percent,cum_late_percent,cum_mid_percent,first_condition_D,second_condition_D,third_condition_D,first_condition_N,second_condition_N,third_condition_N,daytime_peaking,nighttime_peaking
1,20.245,16.038,4.123,7.951,8.333161075,10.23425649,6.458985081,16.66480016,0.505880865,0.500045665,0.614124166,0.38758251,N,Y,L,N,Y,Y,N,N
2,16.331,12.182,4.123,8.243,6.313319623,8.907238744,6.382615847,11.66285364,0.506799561,0.541318602,0.763727216,0.54726022,Y,Y,L,N,N,N,Y,N
3,16.175,12.088,3.997,20.097,8.514727132,9.815037158,7.248083246,12.88794505,0.506564228,0.660673761,0.761567273,0.56239247,Y,Y,L,N,N,N,Y,N
4,3.985,8.031,12.027,15.968,7.439354597,6.892273155,3.565333089,17.99123251,0.50686378,0.413498886,0.383090661,0.198170586,N,N,N,Y,Y,Y,N,Y
5,8.053,16.018,20.03,12.035,8.695295623,7.498508739,5.62951885,13.0646709,0.508560773,0.665557953,0.573953129,0.430896338,Y,Y,E,N,Y,Y,Y,N
6,20.052,16.088,4.052,8.015,6.291534301,8.673187761,5.248021828,13.90821206,0.504646957,0.452361114,0.623601921,0.377332601,N,Y,L,N,Y,Y,N,N
7,16.238,12.089,4.03,8.15,5.721242231,8.395326694,5.372811663,11.81145924,0.506799561,0.484380644,0.710778111,0.454881277,Y,Y,L,N,N,Y,Y,N
8,16.09,12.023,4.013,8.065,4.530592831,6.702627692,4.286415569,7.775275517,0.506735357,0.582692256,0.862043754,0.551287933,Y,Y,L,N,N,N,Y,N
9,19.933,7.946,16.011,12.029,4.587154998,3.765464061,1.777069516,13.0036901,0.50502925,0.352757945,0.289568886,0.136658864,N,N,N,Y,Y,Y,N,Y
10,16.02,20.017,4.016,12.04,4.229215226,6.834251923,3.603432885,10.41654293,0.508690123,0.406009485,0.656095978,0.345933666,N,Y,L,N,N,Y,N,N
11,13.892,17.844,9.94,5.716,4.923280628,5.567737429,4.810286256,7.49833119,0.590987442,0.656583512,0.742530209,0.641514243,Y,N,L,Y,N,N,N,N
12,13.736,10.098,5.921,18.048,8.065508948,9.536508527,7.101939686,11.59790701,0.597728631,0.695427972,0.822261165,0.612346666,Y,Y,L,Y,N,N,Y,N
