"x","Curve1"
0.0127,20.0281
0.9897,19.2441
1.6068,17.9172
2.1724,16.7713
2.7381,15.6254
3.3551,14.781
4.2293,15.0223
4.7436,16.1682
5.5663,17.1935
6.3891,17.8569
7.0576,18.641
7.9318,18.3394
9.0631,18.7616
9.783,19.3044
10.5543,20.0281
10.9657,20.9328
11.4799,20.2694
12.097,19.9678
13.0226,19.9678
13.5883,19.7266
14.5139,19.9075
15.131,20.2091
15.748,19.6663
16.6222,19.5456
17.3422,19.0631
18.1135,18.5203
18.6791,17.6157
19.0391,16.9522
19.5533,17.7363
20.1704,18.641
20.4789,19.4853
20.9932,20.1488
21.7645,20.5106
22.3816,19.6663
22.8958,18.3997
