water req,month,Min Temp,Max Temp,Humidity,Wind,Sun,Rad,Rain,altitude,latitude,longitude,crop,soil,city,temp_ratio,humidity_rad_ratio,season
83.990001,MARCH,16.08,32.01,35.03,192.02,8.1,19.24,5.04,431.07,26.91,75.78,POTATO,RED LOAMY,JAIPUR,1.9906716417910448,1.8206860706860708,SPRING
39.07,MARCH,21.02,32.03,62.01,168.09,9.02,22.08,10.0,14.05,19.17,78.74286746987951,WHEAT,RED SANDY,MUMBAI,1.5237868696479544,2.8084239130434785,SPRING
235.18,MAY,27.07,39.02,63.07,312.01,9.1,23.27,32.08,7.0,13.09,80.27,POTATO,RED LOAMY,CHENNAI,1.4414480975249355,2.7103566824237215,SPRING
108.98,APRIL,21.05,36.03,41.07,168.05,10.09,23.84,40.07,216.07,28.7598,78.74286746987951,WHEAT,RED SANDY,DELHI,1.7116389548693587,1.7227348993288591,SPRING
0.02,JULY,26.01,36.02,64.07,288.04,6.07,18.43,111.01,7.08,13.09,78.74286746987951,WHEAT,RED SANDY,CHENNAI,1.3848519800076895,3.4763971785132934,SUMMER
116.19,APRIL,25.01,36.02,70.06,192.0,9.29,23.35,51.08,9.02,22.73,88.36,POTATO,RED LOAMY,KOLKATA,1.4402239104358256,3.0004282655246253,SPRING
47.7206,MARCH,22.07,34.09,63.03,120.09,8.48,20.5,28.09,9.03,22.79,88.36,POTATO,RED LOAMY,KOLKATA,1.5446307204349798,3.0746341463414635,SPRING
47.71,MARCH,22.08,34.05,63.04,120.07,8.4,20.51,28.08,9.06,22.7798,88.36,POTATO,RED LOAMY,KOLKATA,1.5421195652173914,3.0736226231106776,SPRING
5.91,JUNE,27.04,34.07,80.06,168.01,4.56,16.71,301.06,9.03,22.79,88.36,POTATO,RED LOAMY,KOLKATA,1.2599852071005917,4.79114302812687,SUMMER
58.18,SEPTEMBER,23.32,31.9797,65.0,207.08,5.58,17.3102,116.06,281.1,15.82,78.06,RICE,BLACK CLAY,KURNOOL,1.3713421955403087,3.755011496112119,AUTUMN
221.72,APRIL,22.08,37.07,26.04,240.01,9.07,22.62,4.02,431.07,26.95,75.78,POTATO,RED LOAMY,JAIPUR,1.678894927536232,1.1511936339522546,SPRING
47.7206,MARCH,22.1,34.0,63.08,120.05,8.41,20.6,28.08,9.03,22.71,88.36,POTATO,RED LOAMY,KOLKATA,1.5384615384615383,3.062135922330097,SPRING
221.79,APRIL,22.05,37.03,26.03,240.09,9.06,22.6502,4.06,431.02,26.91,75.78,POTATO,RED LOAMY,JAIPUR,1.6793650793650794,1.1492172254549629,SPRING
