simulation_id,water,hour,date,month,day,year,day_of_week,day_period
0,0.10202895341434386,0.75,2016-01-01,1,1,2016,4,0
1,0.10554432972568994,0.5,2016-01-01,1,1,2016,4,0
2,0.058737232540758993,1.0,2016-01-01,1,1,2016,4,0
3,0.04223987599302461,0.25,2016-01-01,1,1,2016,4,1
4,0.026213081628698762,0.0,2016-01-01,1,1,2016,4,1
5,0.1855122207767044,0.75,2016-01-02,1,2,2016,5,0
6,0.021562820051485042,0.5,2016-01-02,1,2,2016,5,0
7,0.019708251446286712,1.0,2016-01-02,1,2,2016,5,0
8,0.0017715282198909404,0.25,2016-01-02,1,2,2016,5,1
9,0.0011348852658676337,0.0,2016-01-02,1,2,2016,5,1
10,0.2191158966977607,0.75,2016-01-03,1,3,2016,6,0
11,0.13352893957427964,0.5,2016-01-03,1,3,2016,6,0
12,0.013867744346333767,1.0,2016-01-03,1,3,2016,6,0
13,0.00190992886206992,0.25,2016-01-03,1,3,2016,6,1
14,0.0027956929720153903,0.0,2016-01-03,1,3,2016,6,1
15,0.021064577739640714,0.75,2016-01-04,1,4,2016,0,0
16,0.10623633293658484,0.5,2016-01-04,1,4,2016,0,0
17,0.013120380878567279,1.0,2016-01-04,1,4,2016,0,0
18,0.08226534171118555,0.25,2016-01-04,1,4,2016,0,1
19,0.025908600215905003,0.0,2016-01-04,1,4,2016,0,1
20,0.14529299415949293,0.75,2016-01-05,1,5,2016,1,0
21,0.22974506601710634,0.5,2016-01-05,1,5,2016,1,0
22,0.10620865280814903,1.0,2016-01-05,1,5,2016,1,0
23,0.00041520192653693916,0.25,2016-01-05,1,5,2016,1,1
24,2.7680128435795944e-05,0.0,2016-01-05,1,5,2016,1,1
25,0.3173249923879647,0.75,2016-01-06,1,6,2016,2,0
26,0.004428820549727351,0.5,2016-01-06,1,6,2016,2,0
27,0.008248678273867192,1.0,2016-01-06,1,6,2016,2,0
28,0.000996484623688654,0.25,2016-01-06,1,6,2016,2,1
29,0.008608519943532539,0.0,2016-01-06,1,6,2016,2,1
30,0.3535859606388574,0.75,2016-01-07,1,7,2016,3,0
31,0.03172142718742216,0.5,2016-01-07,1,7,2016,3,0
32,0.035928806709663134,1.0,2016-01-07,1,7,2016,3,0
33,0.001937608990505716,0.25,2016-01-07,1,7,2016,3,1
34,0.00019376089905057164,0.0,2016-01-07,1,7,2016,3,1
35,0.06302765244830737,0.75,2016-01-08,1,8,2016,4,0
36,0.0497965510559969,0.5,2016-01-08,1,8,2016,4,0
37,0.11913527278766574,1.0,2016-01-08,1,8,2016,4,0
38,0.03493232208597448,0.25,2016-01-08,1,8,2016,4,1
39,0.009494284053478009,0.0,2016-01-08,1,8,2016,4,1
40,0.1939269798211864,0.75,2016-01-09,1,9,2016,5,0
41,0.043097959974534285,0.5,2016-01-09,1,9,2016,5,0
42,0.028095330362332884,1.0,2016-01-09,1,9,2016,5,0
43,0.03233039001300966,0.25,2016-01-09,1,9,2016,5,1
44,0.0022420904032994715,0.0,2016-01-09,1,9,2016,5,1
45,0.21191906330445376,0.75,2016-01-10,1,10,2016,6,0
46,0.009660364824092785,0.5,2016-01-10,1,10,2016,6,0
47,0.06067484153126471,1.0,2016-01-10,1,10,2016,6,0
48,0.01480886871315083,0.25,2016-01-10,1,10,2016,6,1
49,0.004318100035984167,0.0,2016-01-10,1,10,2016,6,1
50,0.0661555069615523,0.75,2016-01-11,1,11,2016,0,0
51,0.004871702604700086,0.5,2016-01-11,1,11,2016,0,0
52,0.14418578902206108,1.0,2016-01-11,1,11,2016,0,0
53,0.0017715282198909404,0.25,2016-01-11,1,11,2016,0,1
54,0.016663437318349156,0.0,2016-01-11,1,11,2016,0,1
55,0.2627120989841393,0.75,2016-01-12,1,12,2016,1,0
56,0.061422204999031206,0.5,2016-01-12,1,12,2016,1,0
57,0.09364187449829768,1.0,2016-01-12,1,12,2016,1,0
58,0.019625211060979326,0.25,2016-01-12,1,12,2016,1,1
59,0.00968804495252858,0.0,2016-01-12,1,12,2016,1,1
60,0.03739585351676032,0.75,2016-01-13,1,13,2016,2,0
61,0.21399507293713846,0.5,2016-01-13,1,13,2016,2,0
62,0.03097406371965566,1.0,2016-01-13,1,13,2016,2,0
63,0.006255709026489883,0.25,2016-01-13,1,13,2016,2,1
64,0.000498242311844327,0.0,2016-01-13,1,13,2016,2,1
65,0.13914800564674623,0.75,2016-01-14,1,14,2016,3,0
66,0.029673097683173253,0.5,2016-01-14,1,14,2016,3,0
67,0.10737121820245246,1.0,2016-01-14,1,14,2016,3,0
68,0.00894068148476209,0.25,2016-01-14,1,14,2016,3,1
69,0.003515376311346085,0.0,2016-01-14,1,14,2016,3,1
70,0.2368034987682343,0.75,2016-01-15,1,15,2016,4,0
71,0.043236360616713265,0.5,2016-01-15,1,15,2016,4,0
72,0.0006920032108948986,1.0,2016-01-15,1,15,2016,4,0
73,0.005508345558723393,0.25,2016-01-15,1,15,2016,4,1
74,8.304038530738783e-05,0.0,2016-01-15,1,15,2016,4,1
75,0.19409306059180118,0.75,2016-01-16,1,16,2016,5,0
76,0.0002491211559221635,0.5,2016-01-16,1,16,2016,5,0
77,0.0009134442383812662,1.0,2016-01-16,1,16,2016,5,0
78,0.0004428820549727351,0.25,2016-01-16,1,16,2016,5,1
79,0.0005812826971517149,0.0,2016-01-16,1,16,2016,5,1
80,0.29526393002463536,0.75,2016-01-17,1,17,2016,6,0
81,0.07617571345531043,0.5,2016-01-17,1,17,2016,6,0
82,0.04240595676363939,1.0,2016-01-17,1,17,2016,6,0
83,0.014144545630691728,0.25,2016-01-17,1,17,2016,6,1
84,0.03972098430536718,0.0,2016-01-17,1,17,2016,6,1
85,0.21244498574473386,0.75,2016-01-18,1,18,2016,0,0
86,0.06432861848478977,0.5,2016-01-18,1,18,2016,0,0
87,0.027680128435795946,1.0,2016-01-18,1,18,2016,0,0
88,0.01098901098901099,0.25,2016-01-18,1,18,2016,0,1
89,0.010130927007501317,0.0,2016-01-18,1,18,2016,0,1
90,0.3609211946743433,0.75,2016-01-19,1,19,2016,1,0
91,0.06302765244830737,0.5,2016-01-19,1,19,2016,1,0
92,0.01685719821739973,1.0,2016-01-19,1,19,2016,1,0
93,0.01945913029036455,0.25,2016-01-19,1,19,2016,1,1
94,0.0023528109170426552,0.0,2016-01-19,1,19,2016,1,1
95,0.04262739779112575,0.75,2016-01-20,1,20,2016,2,0
96,0.2163202037257453,0.5,2016-01-20,1,20,2016,2,0
97,0.017909043097959976,1.0,2016-01-20,1,20,2016,2,0
98,0.002297450660171063,0.25,2016-01-20,1,20,2016,2,1
99,0.000498242311844327,0.0,2016-01-20,1,20,2016,2,1
100,0.031223184875577823,0.75,2016-01-21,1,21,2016,3,0
101,0.23851966673125366,0.5,2016-01-21,1,21,2016,3,0
102,0.0006920032108948986,1.0,2016-01-21,1,21,2016,3,0
103,0.004235059650676779,0.25,2016-01-21,1,21,2016,3,1
104,0.00019376089905057164,0.0,2016-01-21,1,21,2016,3,1
105,0.20106845295762174,0.75,2016-01-22,1,22,2016,4,0
106,0.07971876989509233,0.5,2016-01-22,1,22,2016,4,0
107,0.0005812826971517149,1.0,2016-01-22,1,22,2016,4,0
108,0.004013618623190412,0.25,2016-01-22,1,22,2016,4,1
109,0.0011625653943034297,0.0,2016-01-22,1,22,2016,4,1
110,0.19866028178370748,0.75,2016-01-23,1,23,2016,5,0
111,0.024829075206908965,0.5,2016-01-23,1,23,2016,5,0
112,0.05433609211946744,1.0,2016-01-23,1,23,2016,5,0
113,0.06443933899853296,0.25,2016-01-23,1,23,2016,5,1
114,0.000525922440280123,0.0,2016-01-23,1,23,2016,5,1
115,0.08384310903202591,0.75,2016-01-24,1,24,2016,6,0
116,0.06994768455725635,0.5,2016-01-24,1,24,2016,6,0
117,0.06291693193456419,1.0,2016-01-24,1,24,2016,6,0
118,0.003736817338832453,0.25,2016-01-24,1,24,2016,6,1
119,0.014393666786613891,0.0,2016-01-24,1,24,2016,6,1
120,0.24239488471226506,0.75,2016-01-25,1,25,2016,0,0
121,0.15204694549782713,0.5,2016-01-25,1,25,2016,0,0
122,0.028621252802613007,1.0,2016-01-25,1,25,2016,0,0
123,0.0136463033188474,0.25,2016-01-25,1,25,2016,0,1
124,0.008414759044481968,0.0,2016-01-25,1,25,2016,0,1
125,0.3595925485094251,0.75,2016-01-26,1,26,2016,1,0
126,0.0798018102803997,0.5,2016-01-26,1,26,2016,1,0
127,0.0011625653943034297,1.0,2016-01-26,1,26,2016,1,0
128,0.036233288122456894,0.25,2016-01-26,1,26,2016,1,1
129,0.001051844880560246,0.0,2016-01-26,1,26,2016,1,1
130,0.32028676613059487,0.75,2016-01-27,1,27,2016,2,0
131,0.001992969247377308,0.5,2016-01-27,1,27,2016,2,0
132,0.000968804495252858,1.0,2016-01-27,1,27,2016,2,0
133,0.0008857641099454702,0.25,2016-01-27,1,27,2016,2,1
134,0.0002491211559221635,0.0,2016-01-27,1,27,2016,2,1
135,0.20256317989315475,0.75,2016-01-28,1,28,2016,3,0
136,0.037783375314861464,0.5,2016-01-28,1,28,2016,3,0
137,0.010213967392808703,1.0,2016-01-28,1,28,2016,3,0
138,0.005259224402801229,0.25,2016-01-28,1,28,2016,3,1
139,0.005176184017493842,0.0,2016-01-28,1,28,2016,3,1
140,0.17316688349433942,0.75,2016-01-29,1,29,2016,4,0
141,0.10313615855177569,0.5,2016-01-29,1,29,2016,4,0
142,0.030835663077476684,1.0,2016-01-29,1,29,2016,4,0
143,0.014698148199407646,0.25,2016-01-29,1,29,2016,4,1
144,0.003044814127937554,0.0,2016-01-29,1,29,2016,4,1
145,0.06222492872366928,0.75,2016-01-30,1,30,2016,5,0
146,0.148808370470839,0.5,2016-01-30,1,30,2016,5,0
147,0.0051485038890580455,1.0,2016-01-30,1,30,2016,5,0
148,0.002297450660171063,0.25,2016-01-30,1,30,2016,5,1
149,0.003044814127937554,0.0,2016-01-30,1,30,2016,5,1
150,0.3499045035568965,0.75,2016-01-31,1,31,2016,6,0
151,0.01359094306197581,0.5,2016-01-31,1,31,2016,6,0
152,0.00027680128435795946,1.0,2016-01-31,1,31,2016,6,0
153,0.0012179256511750216,0.25,2016-01-31,1,31,2016,6,1
154,0.00033216154122955134,0.0,2016-01-31,1,31,2016,6,1
155,0.26196473551637284,0.75,2016-02-01,2,1,2016,0,0
156,0.010047886622193927,0.5,2016-02-01,2,1,2016,0,0
157,0.000525922440280123,1.0,2016-02-01,2,1,2016,0,0
158,0.001522407063968777,0.25,2016-02-01,2,1,2016,0,1
159,0.0013009660364824093,0.0,2016-02-01,2,1,2016,0,1
160,0.006892351980513191,0.75,2016-02-02,2,2,2016,1,0
161,0.041049630470285384,0.5,2016-02-02,2,2,2016,1,0
162,0.12660890746533066,1.0,2016-02-02,2,2,2016,1,0
163,0.1447117114623412,0.25,2016-02-02,2,2,2016,1,1
164,0.06316605309048634,0.0,2016-02-02,2,2,2016,1,1
165,0.17507681235640934,0.75,2016-02-03,2,3,2016,2,0
166,0.05151271901901625,0.5,2016-02-03,2,3,2016,2,0
167,0.009189802640684253,1.0,2016-02-03,2,3,2016,2,0
168,0.02837213164669084,0.25,2016-02-03,2,3,2016,2,1
169,0.00011072051374318377,0.0,2016-02-03,2,3,2016,2,1
170,0.30461981343593436,0.75,2016-02-04,2,4,2016,3,0
171,0.019016248235391813,0.5,2016-02-04,2,4,2016,3,0
172,0.02823373100451186,1.0,2016-02-04,2,4,2016,3,0
173,0.03944418302100922,0.25,2016-02-04,2,4,2016,3,1
174,0.00011072051374318377,0.0,2016-02-04,2,4,2016,3,1
175,0.25366069698563404,0.75,2016-02-05,2,5,2016,4,0
176,0.2354194923464445,0.5,2016-02-05,2,5,2016,4,0
177,0.010269327649680296,1.0,2016-02-05,2,5,2016,4,0
178,0.0016054474492761647,0.25,2016-02-05,2,5,2016,4,1
179,2.7680128435795944e-05,0.0,2016-02-05,2,5,2016,4,1
180,0.2601101669111745,0.75,2016-02-06,2,6,2016,5,0
181,0.08276358402302987,0.5,2016-02-06,2,6,2016,5,0
182,0.00968804495252858,1.0,2016-02-06,2,6,2016,5,0
183,0.0031278545132449416,0.25,2016-02-06,2,6,2016,5,1
184,0.012732859080466133,0.0,2016-02-06,2,6,2016,5,1
185,0.04176931380961608,0.75,2016-02-07,2,7,2016,6,0
186,0.12444985744733857,0.5,2016-02-07,2,7,2016,6,0
