simulation_id,water,hour,date,month,day,year,day_of_week,day_period
0,36.86,14.0,2016-01-01,1,1,2016,4,AFTERNOON
1,38.13,12.0,2016-01-01,1,1,2016,4,AFTERNOON
2,21.22,16.0,2016-01-01,1,1,2016,4,AFTERNOON
3,15.26,10.0,2016-01-01,1,1,2016,4,MORNING
4,9.47,8.0,2016-01-01,1,1,2016,4,MORNING
5,67.02,14.0,2016-01-02,1,2,2016,5,AFTERNOON
6,7.79,12.0,2016-01-02,1,2,2016,5,AFTERNOON
7,7.12,16.0,2016-01-02,1,2,2016,5,AFTERNOON
8,0.64,10.0,2016-01-02,1,2,2016,5,MORNING
9,0.41,8.0,2016-01-02,1,2,2016,5,MORNING
10,79.16,14.0,2016-01-03,1,3,2016,6,AFTERNOON
11,48.24,12.0,2016-01-03,1,3,2016,6,AFTERNOON
12,5.01,16.0,2016-01-03,1,3,2016,6,AFTERNOON
13,0.69,10.0,2016-01-03,1,3,2016,6,MORNING
14,1.01,8.0,2016-01-03,1,3,2016,6,MORNING
15,7.61,14.0,2016-01-04,1,4,2016,0,AFTERNOON
16,38.38,12.0,2016-01-04,1,4,2016,0,AFTERNOON
17,4.74,16.0,2016-01-04,1,4,2016,0,AFTERNOON
18,29.72,10.0,2016-01-04,1,4,2016,0,MORNING
19,9.36,8.0,2016-01-04,1,4,2016,0,MORNING
20,52.49,14.0,2016-01-05,1,5,2016,1,AFTERNOON
21,83.0,12.0,2016-01-05,1,5,2016,1,AFTERNOON
22,38.37,16.0,2016-01-05,1,5,2016,1,AFTERNOON
23,0.15,10.0,2016-01-05,1,5,2016,1,MORNING
24,0.01,8.0,2016-01-05,1,5,2016,1,MORNING
25,114.64,14.0,2016-01-06,1,6,2016,2,AFTERNOON
26,1.6,12.0,2016-01-06,1,6,2016,2,AFTERNOON
27,2.98,16.0,2016-01-06,1,6,2016,2,AFTERNOON
28,0.36,10.0,2016-01-06,1,6,2016,2,MORNING
29,3.11,8.0,2016-01-06,1,6,2016,2,MORNING
30,127.74,14.0,2016-01-07,1,7,2016,3,AFTERNOON
31,11.46,12.0,2016-01-07,1,7,2016,3,AFTERNOON
32,12.98,16.0,2016-01-07,1,7,2016,3,AFTERNOON
33,0.7,10.0,2016-01-07,1,7,2016,3,MORNING
34,0.07,8.0,2016-01-07,1,7,2016,3,MORNING
35,22.77,14.0,2016-01-08,1,8,2016,4,AFTERNOON
36,17.99,12.0,2016-01-08,1,8,2016,4,AFTERNOON
37,43.04,16.0,2016-01-08,1,8,2016,4,AFTERNOON
38,12.62,10.0,2016-01-08,1,8,2016,4,MORNING
39,3.43,8.0,2016-01-08,1,8,2016,4,MORNING
40,70.06,14.0,2016-01-09,1,9,2016,5,AFTERNOON
41,15.57,12.0,2016-01-09,1,9,2016,5,AFTERNOON
42,10.15,16.0,2016-01-09,1,9,2016,5,AFTERNOON
43,11.68,10.0,2016-01-09,1,9,2016,5,MORNING
44,0.81,8.0,2016-01-09,1,9,2016,5,MORNING
45,76.56,14.0,2016-01-10,1,10,2016,6,AFTERNOON
46,3.49,12.0,2016-01-10,1,10,2016,6,AFTERNOON
47,21.92,16.0,2016-01-10,1,10,2016,6,AFTERNOON
48,5.35,10.0,2016-01-10,1,10,2016,6,MORNING
49,1.56,8.0,2016-01-10,1,10,2016,6,MORNING
50,23.9,14.0,2016-01-11,1,11,2016,0,AFTERNOON
51,1.76,12.0,2016-01-11,1,11,2016,0,AFTERNOON
52,52.09,16.0,2016-01-11,1,11,2016,0,AFTERNOON
53,0.64,10.0,2016-01-11,1,11,2016,0,MORNING
54,6.02,8.0,2016-01-11,1,11,2016,0,MORNING
55,94.91,14.0,2016-01-12,1,12,2016,1,AFTERNOON
56,22.19,12.0,2016-01-12,1,12,2016,1,AFTERNOON
57,33.83,16.0,2016-01-12,1,12,2016,1,AFTERNOON
58,7.09,10.0,2016-01-12,1,12,2016,1,MORNING
59,3.5,8.0,2016-01-12,1,12,2016,1,MORNING
60,13.51,14.0,2016-01-13,1,13,2016,2,AFTERNOON
61,77.31,12.0,2016-01-13,1,13,2016,2,AFTERNOON
62,11.19,16.0,2016-01-13,1,13,2016,2,AFTERNOON
63,2.26,10.0,2016-01-13,1,13,2016,2,MORNING
64,0.18,8.0,2016-01-13,1,13,2016,2,MORNING
65,50.27,14.0,2016-01-14,1,14,2016,3,AFTERNOON
66,10.72,12.0,2016-01-14,1,14,2016,3,AFTERNOON
67,38.79,16.0,2016-01-14,1,14,2016,3,AFTERNOON
68,3.23,10.0,2016-01-14,1,14,2016,3,MORNING
