Crop,Total_growing_period_min,Total_growing_period_max,Total_growing_period_avg,Crop_water_need_min,Crop_water_need_max,Crop_water_need_avg
ALFALFA,100.0,365.0,232.5,800.0,1600.0,1200.0
BANANA,300.0,365.0,332.5,1200.0,2200.0,1700.0
BARLEY,120.0,150.0,135.0,450.0,650.0,550.0
BEAN DRY,95.0,110.0,102.5,350.0,500.0,425.0
BEAN GREEN,75.0,90.0,82.5,300.0,500.0,400.0
CABBAGE,120.0,140.0,130.0,900.0,1200.0,1050.0
CARROT,100.0,150.0,125.0,700.0,1300.0,1000.0
CITRUS,240.0,365.0,302.5,500.0,800.0,650.0
COTTON,180.0,195.0,187.5,400.0,600.0,500.0
CUCUMBER,105.0,130.0,117.5,350.0,550.0,450.0
EGGPLANT,130.0,140.0,135.0,500.0,700.0,600.0
FLAX,150.0,220.0,185.0,350.0,500.0,425.0
GRAIN,150.0,165.0,157.5,600.0,900.0,750.0
GROUNDNUT,130.0,140.0,135.0,,,
LENTIL,150.0,170.0,160.0,500.0,700.0,600.0
LETTUCE,75.0,140.0,107.5,450.0,700.0,575.0
MAIZE GRAIN,125.0,180.0,152.5,450.0,700.0,575.0
MAIZE SWEET,80.0,110.0,95.0,450.0,650.0,550.0
MELON,120.0,160.0,140.0,550.0,750.0,650.0
MILLET,105.0,140.0,122.5,1500.0,2500.0,2000.0
OATS,120.0,150.0,135.0,450.0,650.0,550.0
ONION DRY,150.0,210.0,180.0,400.0,800.0,600.0
ONION GREEN,70.0,95.0,82.5,600.0,1000.0,800.0
PEA,90.0,100.0,95.0,,,
PEANUT,130.0,140.0,135.0,,,
PEPPER,120.0,210.0,165.0,,,
POTATO,105.0,145.0,125.0,,,
RADISH,35.0,45.0,40.0,,,
RICE,90.0,150.0,120.0,,,
SMALL,150.0,165.0,157.5,600.0,900.0,750.0
SORGHUM,120.0,130.0,125.0,,,
SOYBEAN,135.0,150.0,142.5,,,
SPINACH,60.0,100.0,80.0,,,
SQUASH,95.0,120.0,107.5,,,
SUGARBEET,160.0,230.0,195.0,,,
SUGARCANE,270.0,365.0,317.5,,,
SUNFLOWER,125.0,130.0,127.5,,,
TOBACCO,130.0,160.0,145.0,,,
TOMATO,135.0,180.0,157.5,,,
WHEAT,120.0,150.0,135.0,450.0,650.0,550.0
