CropType,CropDays,Soil Moisture,Soil Temperature,Temperature,Humidity,Irrigation(Y/N)
Paddy,1,630,19,33,52,1
Paddy,2,460,20,31,50,0
Paddy,3,230,22,33,48,0
Paddy,4,140,24,28,62,0
Paddy,5,720,18,28,63,1
Paddy,6,510,20,27,64,0
Paddy,7,327,21,29,61,0
Paddy,8,189,23,30,52,0
Paddy,9,110,24,31,54,0
Paddy,10,750,18,29,56,1
Paddy,11,528,20,28,57,0
Paddy,12,321,21,29,54,0
Paddy,13,147,24,27,56,0
Paddy,14,621,19,26,58,1
Paddy,15,426,21,24,57,0
Paddy,16,254,22,23,56,0
Paddy,17,118,24,23,54,0
Paddy,18,693,19,25,62,1
Paddy,19,480,20,28,64,0
Paddy,20,326,21,29,63,0
Paddy,21,211,22,32,67,0
Paddy,22,126,24,33,64,0
Paddy,23,746,18,31,63,1
Paddy,24,524,20,30,64,0
Paddy,25,356,21,30,58,0
Paddy,26,214,22,31,57,0
Paddy,27,156,23,29,63,0
Paddy,28,108,24,28,62,0
Paddy,29,699,19,27,64,1
Paddy,30,545,20,26,62,0
Paddy,31,368,21,24,67,0
Paddy,32,245,23,24,68,0
Paddy,33,168,23,23,69,0
Paddy,34,145,24,25,72,0
Paddy,35,714,18,27,68,1
Paddy,36,512,20,26,65,0
Paddy,37,346,21,26,64,0
Paddy,38,203,23,28,63,0
Paddy,39,148,24,27,61,0
Paddy,40,103,24,25,57,0
Paddy,41,750,18,26,55,1
Paddy,42,580,20,24,54,0
Paddy,43,396,21,24,56,0
Paddy,44,285,22,28,54,0
Paddy,45,198,23,26,57,0
Paddy,46,130,24,24,54,0
Paddy,47,567,20,23,56,1
Paddy,48,358,21,24,58,0
Paddy,49,214,22,25,57,0
Paddy,50,158,23,23,56,0
Paddy,51,690,19,22,54,0
Paddy,52,520,20,21,54,0
Paddy,53,436,21,22,52,0
Paddy,54,342,22,24,56,0
Paddy,55,267,22,23,57,0
Paddy,56,196,23,25,54,0
Paddy,57,114,24,24,58,0
Paddy,58,730,18,23,56,1
Paddy,59,546,20,23,57,0
Paddy,60,410,21,22,61,0
Paddy,61,308,22,21,58,0
Paddy,62,268,22,21,59,0
Paddy,63,186,23,21,60,0
Paddy,64,102,24,24,58,0
Paddy,65,760,18,24,59,1
Paddy,66,568,20,25,57,0
Paddy,67,435,21,23,58,0
Paddy,68,312,22,24,59,0
Paddy,69,287,22,23,57,0
Paddy,70,199,22,24,58,0
Paddy,71,156,23,22,63,0
Paddy,72,101,24,21,62,0
Paddy,73,768,18,19,64,1
Paddy,74,589,20,20,62,0
Paddy,75,478,20,21,59,0
Paddy,76,386,21,21,58,0
Paddy,77,765,18,22,57,1
Paddy,78,630,19,23,59,0
Paddy,79,542,20,21,58,0
Paddy,80,430,20,22,61,0
Paddy,81,326,22,20,62,0
Paddy,82,658,19,19,79,0
Paddy,83,599,20,19,81,0
Paddy,84,542,20,18,82,0
Paddy,85,523,20,18,79,0
Paddy,86,420,21,17,79,0
Paddy,87,315,22,18,82,0
Paddy,88,260,22,19,81,0
Paddy,89,142,23,20,79,0
Paddy,90,108,25,21,78,0
Paddy,91,654,19,21,77,1
Paddy,92,425,21,22,77,0
Paddy,93,325,21,19,75,0
Paddy,94,208,23,20,68,0
Paddy,95,135,24,19,69,0
Paddy,96,564,20,18,64,1
Paddy,97,423,21,21,67,0
Paddy,98,328,21,20,62,0
Paddy,99,235,22,21,64,0
Paddy,100,142,23,20,58,0
Ground Nuts,1,580,20,32,55,1
Ground Nuts,3,420,21,31,54,0
Ground Nuts,5,321,22,32,56,0
Ground Nuts,7,214,23,30,58,0
Ground Nuts,9,124,24,29,57,0
Ground Nuts,11,650,19,28,59,1
Ground Nuts,13,463,20,29,61,0
Ground Nuts,15,310,21,30,62,0
Ground Nuts,17,123,24,31,64,0
Ground Nuts,19,720,18,29,65,1
Ground Nuts,21,589,20,28,63,0
Ground Nuts,23,462,21,29,65,0
Ground Nuts,25,314,22,27,64,0
Ground Nuts,27,235,23,26,67,0
Ground Nuts,29,125,24,28,62,0
Ground Nuts,31,694,19,27,63,1
Ground Nuts,33,536,20,27,61,0
Ground Nuts,35,421,21,28,63,0
Ground Nuts,37,312,22,29,58,0
Ground Nuts,39,213,23,30,59,0
Ground Nuts,41,114,24,31,58,0
Ground Nuts,43,702,19,31,57,1
Ground Nuts,45,546,19,30,56,0
Ground Nuts,47,432,20,29,62,0
Ground Nuts,49,324,22,28,61,0
Ground Nuts,51,225,23,27,63,0
Ground Nuts,53,145,23,27,64,0
Ground Nuts,55,698,19,28,65,1
Ground Nuts,57,534,20,29,62,0
Ground Nuts,59,425,21,28,59,0
Ground Nuts,61,315,22,27,62,0
Ground Nuts,63,214,23,26,57,0
Ground Nuts,65,132,24,25,58,0
Ground Nuts,67,702,18,26,59,1
Ground Nuts,69,546,20,26,61,0
Ground Nuts,71,431,21,27,62,0
Ground Nuts,73,320,22,28,63,0
Ground Nuts,75,223,23,26,59,0
Ground Nuts,77,132,23,25,58,0
Ground Nuts,79,712,18,25,58,1
Ground Nuts,81,562,20,24,59,0
Ground Nuts,83,445,20,25,61,0
Ground Nuts,85,336,22,25,60,0
Ground Nuts,87,254,23,24,61,0
Ground Nuts,89,159,23,24,59,0
Ground Nuts,91,101,24,23,58,0
Ground Nuts,93,425,20,23,58,1
Ground Nuts,95,321,22,24,59,0
Ground Nuts,97,214,23,23,61,0
Ground Nuts,99,103,24,23,58,0
