water req,month,min temp,max temp,humidity,wind,sun,rad,rain,altitude,latitude,longitude,crop,soil,city,temp_ratio,humidity_rad_ratio,season
46.8,MARCH,16.0,32.0,35,192,8.0,19.2,5.0,431,26.91,,WHEAT,RED SANDY,JAIPUR,2.0,1.8229166666666667,SPRING
181.3,APRIL,22.0,37.0,26,240,9.0,22.6,4.0,431,26.91,,WHEAT,RED SANDY,JAIPUR,1.6818181818181819,1.1504424778761062,SPRING
327.5,MAY,26.0,41.0,27,288,9.0,23.4,18.0,431,26.91,,WHEAT,RED SANDY,JAIPUR,1.5769230769230769,1.153846153846154,SPRING
187.5,JUNE,27.0,39.0,46,312,7.0,20.6,51.0,431,26.91,,WHEAT,RED SANDY,JAIPUR,1.4444444444444444,2.233009708737864,SUMMER
0.0,JULY,25.0,34.0,73,264,5.0,17.5,213.0,431,26.91,,WHEAT,RED SANDY,JAIPUR,1.36,4.171428571428572,SUMMER
51.1,MARCH,24.0,34.0,70,216,9.5,23.5,2.0,7,13.08,,WHEAT,RED SANDY,CHENNAI,1.4166666666666667,2.978723404255319,SPRING
143.12,APRIL,26.0,36.0,70,264,9.7,24.5,10.0,7,13.08,,WHEAT,RED SANDY,CHENNAI,1.3846153846153846,2.857142857142857,SPRING
236.6,MAY,27.0,39.0,63,312,9.0,23.2,32.0,7,13.08,,WHEAT,RED SANDY,CHENNAI,1.4444444444444444,2.7155172413793105,SPRING
141.5,JUNE,27.0,38.0,61,312,6.8,19.6,56.0,7,13.08,,WHEAT,RED SANDY,CHENNAI,1.4074074074074074,3.1122448979591835,SUMMER
0.0,JULY,26.0,36.0,64,288,6.0,18.4,111.0,7,13.08,,WHEAT,RED SANDY,CHENNAI,1.3846153846153846,3.4782608695652177,SUMMER
53.6,MARCH,22.5,37.5,30,121,9.7,23.5,1.8,281,15.8,,WHEAT,RED SANDY,KURNOOL,1.6666666666666667,1.2765957446808511,SPRING
149.5,APRIL,26.0,39.3,34,138,9.2,23.6,10.0,281,15.8,,WHEAT,RED SANDY,KURNOOL,1.5115384615384615,1.4406779661016949,SPRING
247.5,MAY,27.2,40.0,37,225,8.3,22.2,44.0,281,15.8,,WHEAT,RED SANDY,KURNOOL,1.4705882352941178,1.6666666666666667,SPRING
140.7,JUNE,25.0,35.6,54,354,5.8,18.3,71.6,281,15.8,,WHEAT,RED SANDY,KURNOOL,1.4240000000000002,2.9508196721311473,SUMMER
