water_req,month,min_temp,max_temp,humidity,wind,sun,rad,rain,altitude,longitude,soil,city,temp_ratio,humidity_rad_ratio,season,crop,total_growing_period_avg,crop_water_need_min,crop_water_need_max,crop_water_need_avg
83.990001,MARCH,16.08,32.01,35.03,192.02,8.1,19.24,5.04,431.07,75.78,RED LOAMY,JAIPUR,1.9906716417910448,1.8206860706860708,SPRING,POTATO,125.0,,,
39.07,MARCH,21.02,32.03,62.01,168.09,9.02,22.08,10.0,14.05,78.74286746987951,RED SANDY,MUMBAI,1.5237868696479544,2.8084239130434785,SPRING,WHEAT,135.0,450.0,650.0,550.0
235.18,MAY,27.07,39.02,63.07,312.01,9.1,23.27,32.08,7.0,80.27,RED LOAMY,CHENNAI,1.4414480975249355,2.710356682423721,SPRING,POTATO,125.0,,,
108.98,APRIL,21.05,36.03,41.07,168.05,10.09,23.84,40.07,216.07,78.74286746987951,RED SANDY,DELHI,1.711638954869359,1.7227348993288591,SPRING,WHEAT,135.0,450.0,650.0,550.0
0.02,JULY,26.01,36.02,64.07,288.04,6.07,18.43,111.01,7.08,78.74286746987951,RED SANDY,CHENNAI,1.3848519800076895,3.476397178513293,SUMMER,WHEAT,135.0,450.0,650.0,550.0
116.19,APRIL,25.01,36.02,70.06,192.0,9.29,23.35,51.08,9.02,88.36,RED LOAMY,KOLKATA,1.4402239104358256,3.0004282655246253,SPRING,POTATO,125.0,,,
47.7206,MARCH,22.07,34.09,63.03,120.09,8.48,20.5,28.09,9.03,88.36,RED LOAMY,KOLKATA,1.5446307204349798,3.0746341463414635,SPRING,POTATO,125.0,,,
47.71,MARCH,22.08,34.05,63.04,120.07,8.4,20.51,28.08,9.06,88.36,RED LOAMY,KOLKATA,1.5421195652173914,3.0736226231106776,SPRING,POTATO,125.0,,,
5.91,JUNE,27.04,34.07,80.06,168.01,4.56,16.71,301.06,9.03,88.36,RED LOAMY,KOLKATA,1.2599852071005917,4.79114302812687,SUMMER,POTATO,125.0,,,
58.18,SEPTEMBER,23.32,31.9797,65.0,207.08,5.58,17.3102,116.06,281.1,78.06,BLACK CLAY,KURNOOL,1.371342195540309,3.755011496112119,AUTUMN,RICE,120.0,,,
221.72,APRIL,22.08,37.07,26.04,240.01,9.07,22.62,4.02,431.07,75.78,RED LOAMY,JAIPUR,1.678894927536232,1.1511936339522546,SPRING,POTATO,125.0,,,
47.7206,MARCH,22.1,34.0,63.08,120.05,8.41,20.6,28.08,9.03,88.36,RED LOAMY,KOLKATA,1.5384615384615383,3.062135922330097,SPRING,POTATO,125.0,,,
221.79,APRIL,22.05,37.03,26.03,240.09,9.06,22.6502,4.06,431.02,75.78,RED LOAMY,JAIPUR,1.6793650793650794,1.1492172254549629,SPRING,POTATO,125.0,,,
185.7099998,APRIL,26.02,39.33,34.08,138.1,9.28,23.6502,10.07,281.08,78.06,RED LOAMY,KURNOOL,1.5115295926210608,1.4410026130857243,SPRING,POTATO,125.0,,,
85.77,SEPTEMBER,23.06,34.05,67.05,192.03,8.0,19.7798,80.09,431.07,75.78,BLACK CLAY,JAIPUR,1.476582827406765,3.389821939554494,AUTUMN,RICE,120.0,,,
141.58,JUNE,27.08,38.04,61.05,312.01,6.89,19.67,56.06,7.07,78.74286746987951,RED SANDY,CHENNAI,1.4047267355982276,3.103711235383833,SUMMER,WHEAT,135.0,450.0,650.0,550.0
97.88,MAY,26.07,36.08,73.08,192.04,8.48,22.6103,126.1,9.08,88.36,RED LOAMY,KOLKATA,1.3839662447257384,3.232155256675055,SPRING,POTATO,125.0,,,
0.02,AUGUST,25.08,30.05,83.02,288.02,3.07,14.1399,520.02,14.02,72.82,BLACK CLAY,MUMBAI,1.1981658692185009,5.8713286515463325,SUMMER,RICE,120.0,,,
93.01,MARCH,22.57,37.56,30.06,121.1,9.78,23.54,1.84,281.02,78.06,RED LOAMY,KURNOOL,1.6641559592379265,1.2769753610875103,SPRING,POTATO,125.0,,,
17.97,AUGUST,24.03,33.1,81.08,240.03,5.07,16.99,227.03,431.09,75.78,BLACK CLAY,JAIPUR,1.377444860590928,4.772218952324898,SUMMER,RICE,120.0,,,
236.65,MAY,27.04,39.09,63.09,312.05,9.04,23.2,32.02,7.09,78.74286746987951,RED SANDY,CHENNAI,1.4456360946745563,2.719396551724138,SPRING,WHEAT,135.0,450.0,650.0,550.0
116.1,APRIL,25.01,36.08,70.09,192.08,9.29,23.39,51.03,9.02,88.36,RED LOAMY,KOLKATA,1.442622950819672,2.996579734929457,SPRING,POTATO,125.0,,,
89.13,MARCH,24.02,34.07,70.1,216.08,9.55,23.51,2.02,7.05,80.27,RED LOAMY,CHENNAI,1.4184013322231477,2.981709910676308,SPRING,POTATO,125.0,,,
83.990001,MARCH,16.0,32.08,35.06,192.02,8.08,19.21,5.04,431.05,75.78,RED LOAMY,JAIPUR,2.005,1.8250910983862567,SPRING,POTATO,125.0,,,
281.04,MAY,26.07,36.02,73.03,192.08,8.46,22.62,126.05,9.0,88.36,BLACK CLAY,KOLKATA,1.3816647487533564,3.228558797524314,SPRING,RICE,120.0,,,
97.81,MAY,26.08,36.07,73.08,192.01,8.4501,22.69,126.04,9.01,88.36,RED LOAMY,KOLKATA,1.3830521472392638,3.2208021154693696,SPRING,POTATO,125.0,,,
73.76,MARCH,21.07,32.0,62.08,168.09,9.04,22.06,10.02,14.06,72.82,RED LOAMY,MUMBAI,1.5187470336971998,2.814143245693563,SPRING,POTATO,125.0,,,
135.49,JULY,23.82,32.56,64.0,363.01,4.42,16.22,96.04,281.09,78.06,BLACK CLAY,KURNOOL,1.3669185558354324,3.945745992601727,SUMMER,RICE,120.0,,,
58.13,SEPTEMBER,23.3302,31.91,65.05,207.1,5.53,17.39,116.04,281.01,78.06,BLACK CLAY,KURNOOL,1.367755098541804,3.740655549166187,AUTUMN,RICE,120.0,,,
220.84,MAY,26.09,39.09,42.07,192.03,8.05,21.99,30.08,216.07,78.74286746987951,RED SANDY,DELHI,1.4982752012265237,1.913142337426103,SPRING,WHEAT,135.0,450.0,650.0,550.0
0.04,JULY,25.05,30.04,83.09,336.05,2.06,12.88,640.07,14.03,78.74286746987951,RED SANDY,MUMBAI,1.1992015968063872,6.451086956521739,SUMMER,WHEAT,135.0,450.0,650.0,550.0
